number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
340;L8_0.1O_Nov22;November;2022;18.11.2022;B2;L8;0.1O;orange ;winter;13:06:00;13:35:00;1;1;1;1;4;N;Monthly;NA;Gerard;;;
341;L8_0.45O_Nov22;November;2022;18.11.2022;B2;L8;0.45O;orange ;winter;13:06:00;13:35:00;1;1;1;1;4;N;Monthly;NA;Gerard;;;
342;L8_0.1R_Nov22;November;2022;18.11.2022;B2;L8;0.1R;red;winter;13:06:00;13:35:00;1;1;1;1;4;N;Monthly;NA;Gerard;;;
343;L8_0.45R_Nov22;November;2022;18.11.2022;B2;L8;0.45R;red;winter;13:06:00;13:35:00;1;1;1;1;4;N;Monthly;NA;Gerard;;;
344;ctrl_0.1_Monthly_Nov22;November;2022;18.11.2022;NA;ctrl_field_neg;0.1_Monthly;NA;winter;13:35:00;13:35:00;NA;NA;NA;NA;0;ctrl_neg_field;Monthly;NA;NA;;;
345;ctrl_0.45_Monthly_Nov22;November;2022;18.11.2022;NA;ctrl_field_neg;0.45_Monthly;NA;winter;13:35:00;13:35:00;NA;NA;NA;NA;0;ctrl_neg_field;Monthly;NA;NA;;;
346;L9_0.1_Nov22;November;2022;18.11.2022;B3;L9;0.1;NA;winter;14:00:00;14:12:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
347;L9_0.45_Nov22;November;2022;18.11.2022;B3;L9;0.45;NA;winter;14:00:00;14:12:00;1;1;1;1;4;NP;Monthly;NA;NA;;;
348;L10_0.1_Nov22;November;2022;18.11.2022;B3;L10;0.45;NA;winter;13:20:00;13:40:00;1;1;1;1;4;P;Monthly;NA;NA;;;
349;L10_0.45_Nov22;November;2022;18.11.2022;B3;L10;0.45;NA;winter;13:20:00;13:40:00;1;1;1;1;4;P;Monthly;NA;NA;;;
350;L11_0.1_Nov22;November;2022;18.11.2022;B3;L11;0.1;NA;winter;13:43:00;14:13:00;1;1;0,75;0,55;3,3;N;Monthly;NA;NA;;;
351;L11_0.45_Nov22;November;2022;18.11.2022;B3;L11;0.45;NA;winter;13:43:00;14:13:00;1;1;0,75;0,55;3,3;N;Monthly;NA;NA;;;
